Matrix,Gender,Age,Occupation,RelationshipStatus,Income,EatingOutside,EatingInSameRestaurant,UseLoyaltyApps,FreqUsageOfLoyaltyApps,AreYouLoyalCustomer,AppSuggestion,RedeemVoucher,CombinedLoyltyApp
Gender,1.23E-15,0.0109,0.001929248,0.22434807,0.000495,0.116286494,0.028103219,0.930052335,0.40760165,0.500838581,0.628641626,0.090135262,0.90548616
Age,0.010876277,5.18E-57,0.000405,0.008820382,0.00000315,0.257968551,0.923660114,0.023517039,0.381339428,0.110806413,0.285025549,0.179143002,0.406184178
Occupation,0.001929248,0.000404617,2.03E-28,0.259,5.91E-10,0.705880099,0.314660146,0.359455441,0.873898346,0.963994098,0.756308642,0.185010928,0.590777514
RelationshipStatus,0.22434807,0.00882,0.259,5.18E-57,0.142,0.429108279,0.91381679,0.865853576,0.040487261,0.169428727,0.011418453,0.127290377,0.918280928
Income,0.000495438,0.00000315,5.91E-10,0.141520262,5.18E-57,0.628,0.0121,0.696181761,0.128574285,0.974508617,0.694143935,0.007574953,0.589693105
EatingOutside,0.116286494,0.257968551,0.705880099,0.429108279,0.628032308,4.80E-39,3.51E-09,0.596117199,0.153564772,0.049649795,0.204867691,0.295951455,0.895043545
EatingInSameRestaurant,0.028103219,0.923660114,0.314660146,0.91381679,0.012125113,3.51E-09,4.80E-39,0.344,0.00382,0.057326341,0.923490231,0.002111848,0.550848725
UseLoyaltyApps,0.930052335,0.023517039,0.359455441,0.865853576,0.696181761,0.596117199,0.34412809,1.94E-15,0.00000101,0.500838581,0.625922755,0.572737503,0.605125102
FreqUsageOfLoyaltyApps,0.40760165,0.381339428,0.873898346,0.040487261,0.128574285,0.153564772,0.003820445,0.00000101,1.55E-48,0.553,0.781436289,0.097086978,0.858082066
AreYouLoyalCustomer,0.500838581,0.110806413,0.963994098,0.169428727,0.974508617,0.049649795,0.057326341,0.500838581,0.552829346,5.03E-12,0.509,0.716172498,1
AppSuggestion,0.628641626,0.285025549,0.756308642,0.011418453,0.694143935,0.204867691,0.923490231,0.625922755,0.781436289,0.509276055,1.55E-48,0.268,0.42533337
RedeemVoucher,0.090135262,0.179143002,0.185010928,0.127290377,0.007574953,0.295951455,0.002111848,0.572737503,0.097086978,0.716172498,0.267551015,1.04E-57,0.238
CombinedLoyltyApp,0.90548616,0.406184178,0.590777514,0.918280928,0.589693105,0.8950435,0.550848725,0.605125102,0.858082066,1,0.42533337,0.237807737,1.69E-10
